building_id,rep_point,geohash
13103-bldg-23037,POINT (139.7567091062185 35.66698167501309),xn76uhzxpr7
13103-bldg-22886,POINT (139.75681322540848 35.66679385274642),xn76uhzy1u3
13103-bldg-22992,POINT (139.75687960278168 35.66693835451747),xn76uhzygr4
13103-bldg-22875,POINT (139.7569431348939 35.66682673524335),xn76uhzykf3
13103-bldg-22925,POINT (139.75697376596239 35.666878200081655),xn76uhzyteb
13103-bldg-22961,POINT (139.75700111831165 35.666929212759946),xn76uhzyyjt
13103-bldg-23016,POINT (139.75677991133145 35.6669540036032),xn76uhzz140
13103-bldg-23104,POINT (139.7570013170051 35.667088068084055),xn76uhzzy5j
13103-bldg-27417,POINT (139.75001357787946 35.66775464322961),xn76uj4ger6
13103-bldg-23953,POINT (139.7500103054009 35.668478799513196),xn76uj4zgq2
13103-bldg-23111,POINT (139.75058717986158 35.667133204897574),xn76uj520ew
13103-bldg-23148,POINT (139.75068754922182 35.667126155952076),xn76uj52541
13103-bldg-23309,POINT (139.75098416269807 35.667271893445886),xn76uj58cvq
13103-bldg-23174,POINT (139.75132319040665 35.66722340908961),xn76uj5b9u7
13103-bldg-23129,POINT (139.75154390168137 35.66713117375886),xn76uj5bngp
13103-bldg-23294,POINT (139.75149304885912 35.66738605382948),xn76uj5ctfd
13103-bldg-23343,POINT (139.7515329024951 35.667447719488166),xn76uj5cywp
13103-bldg-23581,POINT (139.75114926338105 35.66765176316493),xn76uj5eju1
13103-bldg-23624,POINT (139.7511124834211 35.6677984151267),xn76uj5euzw
13103-bldg-23394,POINT (139.75156201237846 35.6675232540348),xn76uj5frkj
13103-bldg-23560,POINT (139.75147636604933 35.66771812167064),xn76uj5gt2t
13103-bldg-23808,POINT (139.75071155630167 35.66822908513513),xn76uj5q7xg
13103-bldg-23829,POINT (139.75071021982887 35.668285970004426),xn76uj5qgd6
13103-bldg-24008,POINT (139.7505942669917 35.66842940047914),xn76uj5r8v5
13103-bldg-23707,POINT (139.75134960232384 35.66801742523997),xn76uj5v62r
13103-bldg-23729,POINT (139.75148554249225 35.668021504864875),xn76uj5vm9h
13103-bldg-23782,POINT (139.7515549743897 35.66816570484181),xn76uj5ypk0
13103-bldg-24070,POINT (139.75136737978835 35.66838013630389),xn76uj5z6gu
13103-bldg-64111,POINT (139.75008281137198 35.66850898943165),xn76uj6bhgy
13103-bldg-24000,POINT (139.75020214094522 35.66848877730597),xn76uj6bp8p
13103-bldg-24102,POINT (139.75006798859962 35.66871154615152),xn76uj6ck9g
13103-bldg-24085,POINT (139.75015413099058 35.66867789285531),xn76uj6cne7
13103-bldg-24139,POINT (139.75021128174222 35.66873643957817),xn76uj6cryq
13103-bldg-24162,POINT (139.7501304528608 35.66876115001869),xn76uj6cw51
13103-bldg-24291,POINT (139.75000178055933 35.66892846842009),xn76uj6fe44
13103-bldg-24220,POINT (139.75018635212146 35.668872626905745),xn76uj6fprg
13103-bldg-24236,POINT (139.7501322372894 35.66888768958121),xn76uj6fq4e
13103-bldg-24317,POINT (139.7502072138811 35.66896115704916),xn76uj6fzb7
13103-bldg-24379,POINT (139.75005384106763 35.66902151779651),xn76uj6gh78
13103-bldg-24520,POINT (139.75005485953375 35.66919232323987),xn76uj6uh73
13103-bldg-24673,POINT (139.75007028269357 35.669410690383394),xn76uj6vksj
13103-bldg-24618,POINT (139.75013658561213 35.66935335327851),xn76uj6vn1q
13103-bldg-24687,POINT (139.75011353258685 35.66949954452779),xn76uj6vvst
13103-bldg-24191,POINT (139.7503163809834 35.66881988209142),xn76uj71fmu
13103-bldg-24169,POINT (139.750394977395 35.668784446530225),xn76uj71spr
13103-bldg-24268,POINT (139.75037309677384 35.66888249446129),xn76uj7479w
13103-bldg-24381,POINT (139.7504122395525 35.668994911027504),xn76uj74uws
13103-bldg-24356,POINT (139.7502244966853 35.66903170558898),xn76uj750m2
13103-bldg-24390,POINT (139.75024135443795 35.669071241156225),xn76uj752su
13103-bldg-24450,POINT (139.75027041796818 35.66913387388553),xn76uj75c26
13103-bldg-24435,POINT (139.7503861257952 35.66908861269615),xn76uj75s00
13103-bldg-62982,POINT (139.75068803830243 35.66901883426346),xn76uj77551
13103-bldg-24488,POINT (139.7507645725728 35.669150101122135),xn76uj77ugd
13103-bldg-24157,POINT (139.75135151599042 35.66872670008465),xn76uj7c6s8
13103-bldg-24120,POINT (139.75150556261795 35.668700235946055),xn76uj7cnpe
13103-bldg-24424,POINT (139.75098793257595 35.66906706043462),xn76uj7e6h1
13103-bldg-24486,POINT (139.7510328239659 35.66916433211708),xn76uj7egn4
13103-bldg-24353,POINT (139.75111445368313 35.66901692732781),xn76uj7ehfx
13103-bldg-24402,POINT (139.75109242854947 35.66909425194764),xn76uj7es3p
13103-bldg-24436,POINT (139.75116265035945 35.66912770123964),xn76uj7ewp7
13103-bldg-24569,POINT (139.75029843505774 35.66930272141574),xn76uj7h9zz
13103-bldg-24596,POINT (139.75022010594358 35.66933021406834),xn76uj7hbjh
13103-bldg-24519,POINT (139.75050573071712 35.669227061430746),xn76uj7hqcc
