building_id,rep_point,geohash
13103-bldg-2773,POINT (139.75108760502667 35.669092447558555),xn76uj7es2g
13103-bldg-2324,POINT (139.7511560021137 35.66912503383351),xn76uj7etyy
13103-bldg-5332,POINT (139.7502197310654 35.66933194485279),xn76uj7hbjk
13103-bldg-5011,POINT (139.7502926186284 35.66930557249107),xn76uj7hcb6
13103-bldg-10134,POINT (139.7505010604556 35.669228578702786),xn76uj7hqdn
13103-bldg-5483,POINT (139.75039089965512 35.66927123581128),xn76uj7hs4h
13103-bldg-10914,POINT (139.75055594570549 35.66932037278224),xn76uj7hzgp
13103-bldg-6805,POINT (139.7502347858349 35.66942501038328),xn76uj7j2qz
13103-bldg-8293,POINT (139.75037766954597 35.669377076108645),xn76uj7j5vf
13103-bldg-3646,POINT (139.7504735670401 35.66934634907761),xn76uj7jn01
13103-bldg-10324,POINT (139.75055650329304 35.66945424868773),xn76uj7jxup
13103-bldg-10524,POINT (139.750585871661 35.66920501101006),xn76uj7k0tt
13103-bldg-10827,POINT (139.7506129961132 35.66930089199325),xn76uj7k9r9
13103-bldg-10925,POINT (139.75067874505592 35.669279813628535),xn76uj7kdgd
13103-bldg-4559,POINT (139.75073510133703 35.66925721549788),xn76uj7kkpk
13103-bldg-1203,POINT (139.75082230826607 35.66922366919356),xn76uj7kq1j
13103-bldg-10500,POINT (139.75068114701875 35.6694501689236),xn76uj7mdgk
13103-bldg-7067,POINT (139.75080879561014 35.669366860187985),xn76uj7mjgg
13103-bldg-11184,POINT (139.7508656196767 35.66934609906115),xn76uj7mp0n
13103-bldg-7245,POINT (139.7507807945304 35.669448753373324),xn76uj7mt5n
13103-bldg-9561,POINT (139.75085861911873 35.66943584405465),xn76uj7mx0b
13103-bldg-11292,POINT (139.75027328329597 35.66958972531022),xn76uj7n3mk
13103-bldg-888,POINT (139.7504718014913 35.669526597721934),xn76uj7nn18
13103-bldg-493,POINT (139.75058800278106 35.669530796183444),xn76uj7q0dr
13103-bldg-9490,POINT (139.7508770412337 35.66955719244305),xn76uj7qprq
13103-bldg-3354,POINT (139.75079904924758 35.66964010823597),xn76uj7qtwu
13103-bldg-5793,POINT (139.7508801179901 35.66966461010859),xn76uj7qze2
13103-bldg-2430,POINT (139.7509049613286 35.66919670170387),xn76uj7s0h5
13103-bldg-7580,POINT (139.75091837919734 35.66932427382786),xn76uj7sb7v
13103-bldg-5385,POINT (139.75097598117702 35.669312187284646),xn76uj7scc8
13103-bldg-11348,POINT (139.7511279506413 35.669249688564605),xn76uj7smq1
13103-bldg-5960,POINT (139.75119579923714 35.66922262523988),xn76uj7sqch
13103-bldg-10312,POINT (139.75109419492583 35.6693154809587),xn76uj7sud2
13103-bldg-8202,POINT (139.7511957246034 35.66933835999335),xn76uj7syys
13103-bldg-8120,POINT (139.75095429624122 35.669401764811),xn76uj7t362
13103-bldg-695,POINT (139.75124678979532 35.66943362497987),xn76uj7v806
